"ML4" "ML3" "ML2" "ML5" "ML9" "ML8" "ML7" "ML10" "ML1" "ML6" "ML12" "ML11" "ML13" "dominant_factor"
"ALCOL_unità_giorno_aggr" 0,03 0,11 0,15 -0,43 0,01 -0,18 -0,01 0,01 -0,02 0 0,04 -0,02 0 "ML5"
"NBICALCM" -0,02 0,12 -0,14 -0,4 -0,07 -0,05 -0,05 0,08 0,14 0 0,05 -0,01 0,05 "ML5"
"NINCDOM" -0,06 -0,02 0,05 0,01 0,11 0,01 0,05 0,01 -0,01 0,85 0 0,02 -0,03 "ML6"
"MNINCDM" -0,06 -0,02 0,04 0 0,08 0,01 0,02 0 -0,01 0,82 -0,01 0,02 -0,02 "ML6"
"RELAM" -0,23 -0,02 0,16 0,1 0,25 0,04 0,83 -0,1 -0,16 0,04 0,06 0,26 -0,29 "ML7"
"RELFAM" -0,21 0,04 0,04 -0,01 0,13 -0,01 0,6 -0,03 -0,08 0 0,08 0,26 -0,05 "ML7"
"TEMLIB" -0,25 0,02 0,03 0,04 0,21 0,03 0,57 0 -0,16 0,05 0,08 0,33 -0,17 "ML7"
"RED_MEAT_aggr" 0,01 -0,07 0,07 0,13 0,06 0,75 0,03 0,11 0,06 0,02 -0,04 0,03 -0,1 "ML8"
"POLLO" 0,02 -0,02 0,05 0,04 0,02 0,51 0,02 0,09 0 0 0,1 0 -0,03 "ML8"
"UOVA" 0 0,02 0 0,01 0,03 0,43 0,03 0,02 0 0 0,25 0,01 -0,02 "ML8"
"PESCE" -0,03 0,03 -0,03 -0,01 0,02 0,37 0,05 -0,02 -0,02 0 0,27 0,08 -0,05 "ML8"
"FORM" 0,03 0,03 -0,06 0,04 -0,02 0,35 0,01 -0,02 0,04 0 0,2 0,03 -0,01 "ML8"
"BGAS" 0,01 -0,11 0,27 0,22 0,16 0,29 0,03 -0,02 -0,03 0,02 -0,17 0 -0,11 "ML8"
"DOLCI" 0,04 -0,02 0,14 0,09 0,07 0,27 0,02 -0,05 -0,01 0,01 -0,06 0,03 -0,04 "ML8"
"LATTE" 0,04 0,09 -0,05 -0,1 -0,03 0,23 -0,02 0,09 0,08 0 0,16 0,01 -0,02 "ML8"
"PANPAS" 0,02 0,01 -0,03 0,03 -0,03 0,22 0 0,03 0,03 0 0,14 0,02 -0,05 "ML8"
"LIMITA" 0,31 0,06 -0,35 -0,11 -0,82 -0,04 -0,23 0,12 0,19 -0,11 0,03 -0,15 0,1 "ML9"
"CRONI" -0,21 -0,06 0,36 0,11 0,72 0,06 0,16 -0,01 -0,14 0,07 -0,06 0,1 -0,08 "ML9"
"SALUTE" -0,37 -0,05 0,42 0,12 0,7 0,05 0,28 -0,11 -0,23 0,09 -0,01 0,2 -0,12 "ML9"
"SALUT" -0,31 -0,03 0,31 0,1 0,58 0,04 0,51 -0,1 -0,21 0,09 0,04 0,41 -0,11 "ML9"
"ASSIST_SANITARIA" -0,12 -0,03 0,11 0,04 0,25 0,01 0,05 -0,05 -0,05 0,14 -0,02 0,02 -0,04 "ML9"
