"ML4" "ML3" "ML2" "ML5" "ML9" "ML8" "ML7" "ML10" "ML1" "ML6" "ML12" "ML11" "ML13" "dominant_factor"
"NINCDOM" 0,01 0,01 0 0 0,01 0 0,01 0 0 0,85 0,01 -0,01 0 "ML6"
"MNINCDM" 0 0 0 0 -0,01 0 -0,02 0 0 0,82 -0,01 0,01 0 "ML6"
"RELAM" 0,01 -0,01 0,02 0,02 0 0 0,82 -0,03 0,01 0 -0,01 -0,04 -0,07 "ML7"
"RELFAM" -0,04 0,02 -0,01 -0,04 -0,04 0 0,62 0 0,01 -0,02 0,01 0,06 0,11 "ML7"
"TEMLIB" -0,05 0 -0,08 0 0,05 0 0,49 0,08 -0,08 0,02 0,02 0,13 -0,02 "ML7"
"RED_MEAT_aggr" 0 -0,01 0,02 0,02 -0,01 0,74 0 0,04 0,02 0 -0,07 0,01 -0,02 "ML8"
"POLLO" 0,01 0 0,06 -0,03 -0,04 0,51 0,01 0,05 -0,04 0 0,07 -0,01 0,03 "ML8"
"UOVA" 0 0,02 0,01 -0,03 0,02 0,43 0,01 -0,01 -0,01 0 0,22 -0,03 0,03 "ML8"
"PESCE" -0,01 0 -0,02 -0,04 0 0,37 -0,01 -0,04 -0,03 0 0,23 0,04 0 "ML8"
"FORM" 0,03 0,02 -0,06 0,02 0 0,35 0 -0,06 0,02 0 0,17 0,01 0,02 "ML8"
"DOLCI" 0,05 0,03 0,1 0,02 0,02 0,27 0,01 -0,06 0,03 0 -0,06 0,02 0,02 "ML8"
"BGAS" 0,02 -0,02 0,19 0,13 0,05 0,25 -0,02 0 0,04 0 -0,13 0 -0,05 "ML8"
"LATTE" 0,03 0,06 0,01 -0,09 0 0,22 -0,02 0,05 0,04 0,01 0,14 0,01 -0,02 "ML8"
"PANPAS" 0,01 0,01 0 0,02 -0,04 0,21 -0,01 0,01 0,02 0 0,12 0,02 -0,03 "ML8"
"LIMITA" 0,02 0 0,04 0,01 -0,83 0,01 0 0,05 0,01 -0,01 0 0,02 0,01 "ML9"
"CRONI" 0,04 0 0,03 0,02 0,74 0 -0,03 0,06 0,01 -0,01 -0,01 -0,02 -0,01 "ML9"
"SALUTE" -0,14 0 0,14 0,01 0,55 0 0,04 0 -0,04 0,01 0,02 0,03 -0,01 "ML9"
"SALUT" -0,02 -0,01 0,09 0 0,4 -0,01 0,31 0,01 -0,02 0,02 0,03 0,21 0,06 "ML9"
"ASSIST_SANITARIA" -0,04 0 -0,01 0 0,24 -0,01 -0,02 -0,03 0 0,11 0 -0,03 -0,02 "ML9"
